Id,Label,timeset,clustering,triangles,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,eigencentrality
642,,,0.978362,327723,819,16335,2,0.985765,0.99278,13.026147,0.035341,0.035341,2,0.001251,0,0.993513
643,,,0.990711,304085,784,5768,2,0.946469,0.971721,4.960041,0.034043,0.034043,8,0.000566,0,0.957019
644,,,0.984069,320040,807,7449,2,0.97193,0.98556,9.101169,0.034923,0.034923,8,0.00068,0,0.981763
645,,,0.979936,326648,817,10507,2,0.983432,0.991576,11.656491,0.035283,0.035283,2,0.000875,0,0.991873
646,,,0.976082,328559,821,12443,2,0.988109,0.993983,16.180441,0.035386,0.035386,2,0.000998,0,0.99479
647,,,0.999202,166620,578,1118,2,0.766605,0.847774,0.217776,0.025268,0.025268,6,0.000253,0,0.710341
648,,,0.976323,328640,821,20093,2,0.988109,0.993983,15.092944,0.035391,0.035391,8,0.001499,0,0.994914
649,,,0.971026,330853,826,13705,2,0.994019,0.996992,21.034055,0.035511,0.035511,8,0.001097,0,0.998286
650,,,0.96838,331552,828,36797,2,0.996403,0.998195,27.564243,0.035549,0.035549,4,0.002568,0,0.999353
651,,,0.97678,329596,822,18478,2,0.989286,0.994585,14.859998,0.035443,0.035443,2,0.001394,0,0.996367
652,,,0.997931,149022,547,1085,2,0.745291,0.829122,0.545364,0.023886,0.023886,6,0.000252,0,0.671498
653,,,0.976022,329340,822,25267,2,0.989286,0.994585,15.282916,0.035429,0.035429,3,0.001833,0,0.995975
654,,,0.978347,328519,820,18187,2,0.986936,0.993381,12.997147,0.035384,0.035384,8,0.001381,0,0.994723
655,,,0.981879,324895,814,9379,2,0.979953,0.989771,10.595774,0.035187,0.035187,2,0.000803,0,0.989193
656,,,0.981437,322358,811,7266,2,0.976498,0.987966,10.230822,0.035049,0.035049,6,0.000665,0,0.985316
657,,,0.978802,328672,820,20254,2,0.986936,0.993381,12.32433,0.035392,0.035392,2,0.001508,0,0.99495
658,,,0.972848,330671,825,15011,2,0.992832,0.99639,18.016531,0.035501,0.035501,8,0.001174,0,0.998006
659,,,0.970037,331317,827,33568,2,0.99521,0.997593,22.004731,0.035536,0.035536,4,0.002364,0,0.998995
660,,,0.977945,328384,820,11786,2,0.986936,0.993381,12.941087,0.035377,0.035377,2,0.000959,0,0.994516
661,,,0.979458,328090,819,10340,2,0.985765,0.99278,11.089108,0.035361,0.035361,6,0.000872,0,0.994072
662,,,0.989494,309945,792,6230,2,0.955172,0.976534,5.105088,0.034368,0.034368,6,0.000595,0,0.966151
663,,,0.985984,316699,802,11658,2,0.966279,0.982551,7.787669,0.034739,0.034739,6,0.00095,0,0.976579
664,,,0.97298,330716,825,19675,2,0.992832,0.99639,18.653966,0.035503,0.035503,6,0.001473,0,0.998075
665,,,0.97926,318476,807,11044,2,0.97193,0.98556,15.002797,0.034838,0.034838,8,0.000911,0,0.979371
666,,,0.980121,328312,819,17732,2,0.985765,0.99278,11.018687,0.035373,0.035373,6,0.001344,0,0.994402
667,,,0.977554,329857,822,17366,2,0.989286,0.994585,12.744164,0.035456,0.035456,8,0.001324,0,0.996758
668,,,0.995285,265557,731,1789,2,0.892589,0.939832,1.873218,0.031829,0.031829,6,0.0003,0,0.894775
669,,,0.978109,326039,817,12801,2,0.983432,0.991576,15.037852,0.03525,0.03525,8,0.001023,0,0.990948
670,,,0.971553,330231,825,25051,2,0.992832,0.99639,45.675918,0.035477,0.035477,6,0.001827,0,0.997337
671,,,0.974109,330297,824,17959,2,0.991647,0.995788,16.806595,0.03548,0.03548,2,0.001365,0,0.997435
672,,,0.995921,282723,754,3695,2,0.915198,0.95367,2.370815,0.032836,0.032836,8,0.000426,0,0.923082
673,,,0.976257,330222,823,20739,2,0.990465,0.995187,14.015014,0.035476,0.035476,6,0.001548,0,0.997315
674,,,0.971696,331081,826,18770,2,0.994019,0.996992,19.941204,0.035523,0.035523,2,0.001418,0,0.998632
675,,,0.96482,331932,830,40544,2,0.998798,0.999398,41.690315,0.035569,0.035569,4,0.002807,0,0.999934
676,,,0.975708,329234,822,24049,2,0.989286,0.994585,15.628217,0.035423,0.035423,5,0.001753,0,0.995816
